ds,y
2023-05-04,313.4341085271318
2023-05-05,313.7919896640827
2023-05-06,314.1498708010336
2023-05-07,314.5077519379845
2023-05-08,314.86563307493543
2023-05-09,315.2235142118863
2023-05-10,315.5813953488372
2023-05-11,315.9392764857881
2023-05-12,316.297157622739
2023-05-13,316.65503875968994
2023-05-14,317.0129198966408
2023-05-15,317.37080103359176
2023-05-16,317.72868217054264
2023-05-17,318.0865633074935
2023-05-18,318.44444444444446
2023-05-19,318.80232558139534
2023-05-20,319.1602067183463
2023-05-21,319.51808785529715
2023-05-22,319.8759689922481
2023-05-23,320.23385012919897
2023-05-24,320.59173126614985
2023-05-25,320.9496124031008
2023-05-26,321.30749354005167
2023-05-27,321.6653746770026
2023-05-28,322.0232558139535
2023-05-29,322.3811369509044
2023-05-30,322.7390180878553
2023-05-31,323.0968992248062
2023-06-01,323.4547803617571
2023-06-02,323.812661498708
2023-06-03,324.17054263565893
2023-06-04,324.5284237726098
2023-06-05,324.88630490956075
2023-06-06,325.24418604651163
2023-06-07,325.6020671834625
2023-06-08,325.95994832041345
2023-06-09,326.3178294573643
2023-06-10,326.67571059431526
2023-06-11,327.03359173126614
2023-06-12,327.3914728682171
2023-06-13,327.74935400516796
2023-06-14,328.1072351421189
2023-06-15,328.4651162790698
2023-06-16,328.82299741602066
2023-06-17,329.1808785529716
2023-06-18,329.5387596899225
2023-06-19,329.8966408268734
2023-06-20,330.2545219638243
2023-06-21,330.6124031007752
2023-06-22,330.9702842377261
2023-06-23,331.328165374677
2023-06-24,331.6860465116279
2023-06-25,332.0439276485788
2023-06-26,332.40180878552974
2023-06-27,332.7596899224806
2023-06-28,333.11757105943155
2023-06-29,333.47545219638243
2023-06-30,333.8333333333333
2023-07-01,334.19121447028425
2023-07-02,334.54909560723513
2023-07-03,334.90697674418607
2023-07-04,335.26485788113695
2023-07-05,335.6227390180879
2023-07-06,335.98062015503876
2023-07-07,336.33850129198964
2023-07-08,336.6963824289406
2023-07-09,337.05426356589146
2023-07-10,337.4121447028424
2023-07-11,337.7700258397933
2023-07-12,338.1279069767442
2023-07-13,338.4857881136951
2023-07-14,338.843669250646
2023-07-15,339.2015503875969
2023-07-16,339.5594315245478
2023-07-17,339.9173126614987
2023-07-18,340.2751937984496
2023-07-19,340.63307493540054
2023-07-20,340.9909560723514
2023-07-21,341.3488372093023
2023-07-22,341.70671834625324
2023-07-23,342.0645994832041
2023-07-24,342.42248062015506
2023-07-25,342.78036175710594
2023-07-26,343.1382428940569
2023-07-27,343.49612403100775
2023-07-28,343.85400516795863
2023-07-29,344.21188630490957
2023-07-30,344.56976744186045
2023-07-31,344.9276485788114
2023-08-01,345.28552971576227
2023-08-02,345.6434108527132
2023-08-03,346.0012919896641
2023-08-04,346.359173126615
2023-08-05,346.7170542635659
2023-08-06,347.0749354005168
2023-08-07,347.4328165374677
2023-08-08,347.7906976744186
2023-08-09,348.14857881136953
2023-08-10,348.5064599483204
2023-08-11,348.86434108527135
2023-08-12,349.22222222222223
2023-08-13,349.5801033591731
2023-08-14,349.93798449612405
2023-08-15,350.2958656330749
2023-08-16,350.65374677002586
2023-08-17,351.01162790697674
2023-08-18,351.3695090439277
2023-08-19,351.72739018087856
2023-08-20,352.08527131782944
2023-08-21,352.4431524547804
2023-08-22,352.80103359173125
2023-08-23,353.1589147286822
2023-08-24,353.51679586563307
2023-08-25,353.874677002584
2023-08-26,354.2325581395349
2023-08-27,354.59043927648577
2023-08-28,354.9483204134367
2023-08-29,355.3062015503876
2023-08-30,355.6640826873385
2023-08-31,356.0219638242894
2023-09-01,356.37984496124034
2023-09-02,356.7377260981912
2023-09-03,357.0956072351421
2023-09-04,357.45348837209303
2023-09-05,357.8113695090439
2023-09-06,358.16925064599485
2023-09-07,358.52713178294573
2023-09-08,358.88501291989667
2023-09-09,359.24289405684755
2023-09-10,359.6007751937984
2023-09-11,359.95865633074936
2023-09-12,360.31653746770024
2023-09-13,360.6744186046512
2023-09-14,361.03229974160206
2023-09-15,361.390180878553
2023-09-16,361.7480620155039
2023-09-17,362.1059431524548
2023-09-18,362.4638242894057
2023-09-19,362.8217054263566
2023-09-20,363.1795865633075
2023-09-21,363.5374677002584
2023-09-22,363.8953488372093
2023-09-23,364.2532299741602
2023-09-24,364.61111111111114
2023-09-25,364.968992248062
2023-09-26,365.3268733850129
2023-09-27,365.68475452196384
2023-09-28,366.0426356589147
2023-09-29,366.40051679586566
2023-09-30,366.75839793281654
2023-10-01,367.1162790697675
2023-10-02,367.47416020671835
2023-10-03,367.83204134366923
2023-10-04,368.18992248062017
2023-10-05,368.54780361757105
2023-10-06,368.905684754522
2023-10-07,369.26356589147287
2023-10-08,369.6214470284238
2023-10-09,369.9793281653747
2023-10-10,370.33720930232556
2023-10-11,370.6950904392765
2023-10-12,371.0529715762274
2023-10-13,371.4108527131783
2023-10-14,371.7687338501292
2023-10-15,372.12661498708013
2023-10-16,372.484496124031
2023-10-17,372.8423772609819
2023-10-18,373.2002583979328
2023-10-19,373.5581395348837
2023-10-20,373.91602067183464
2023-10-21,374.2739018087855
2023-10-22,374.63178294573646
2023-10-23,374.98966408268734
2023-10-24,375.3475452196382
2023-10-25,375.70542635658916
2023-10-26,376.06330749354004
2023-10-27,376.421188630491
2023-10-28,376.77906976744185
2023-10-29,377.1369509043928
2023-10-30,377.49483204134367
2023-10-31,377.8527131782946
2023-11-01,378.2105943152455
2023-11-02,378.56847545219637
2023-11-03,378.9263565891473
2023-11-04,379.2842377260982
2023-11-05,379.6421188630491
2023-11-06,380.0
2023-11-07,380.0
2023-11-08,380.0
2023-11-09,380.0
2023-11-10,380.0
2023-11-11,353.3333333333333
2023-11-12,326.6666666666667
2023-11-13,300.0
2023-11-14,300.05882352941177
2023-11-15,300.11764705882354
2023-11-16,300.1764705882353
2023-11-17,300.2352941176471
2023-11-18,300.29411764705884
2023-11-19,300.3529411764706
2023-11-20,300.4117647058824
2023-11-21,300.47058823529414
2023-11-22,300.52941176470586
2023-11-23,300.5882352941176
2023-11-24,300.6470588235294
2023-11-25,300.70588235294116
2023-11-26,300.7647058823529
2023-11-27,300.8235294117647
2023-11-28,300.88235294117646
2023-11-29,300.94117647058823
2023-11-30,301.0
2023-12-01,301.05882352941177
2023-12-02,301.11764705882354
2023-12-03,301.1764705882353
2023-12-04,301.2352941176471
2023-12-05,301.29411764705884
2023-12-06,301.3529411764706
2023-12-07,301.4117647058824
2023-12-08,301.47058823529414
2023-12-09,301.52941176470586
2023-12-10,301.5882352941176
2023-12-11,301.6470588235294
2023-12-12,301.70588235294116
2023-12-13,301.7647058823529
2023-12-14,301.8235294117647
2023-12-15,301.88235294117646
2023-12-16,301.94117647058823
2023-12-17,302.0
